date,title,review,rating,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_reviews,platform_grouped,sentiment,polarity_scores
2024-09-06,Claim who accept.,Every quite sense including six lot have never effect fill general relationship save. Security land record class Democrat hundred full nearly recent.,4,30,22,Flipkart,ar,Nepal,3.8.4,No,every quite sense include six lot never effect fill general relationship save security land record class democrat hundred full nearly recent,Web,Positive,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.6808}"
2025-03-07,Growth pretty wish.,Ask develop bag also his worker pass. Expert white arm similar compare manager action sure us million crime six member recognize past.,4,120,22,Flipkart,ar,Guinea,5.2.6,Yes,ask develop bag also worker pas expert white arm similar compare manager action sure u million crime six member recognize past,Web,Negative,"{'neg': 0.147, 'neu': 0.756, 'pos': 0.097, 'compound': -0.296}"
,What then spend offer reason whom none.,If customer address region try near risk next on girl spring. Paper create upon offer end imagine blood authority family water.,5,130,21,Flipkart,es,Kuwait,3.6.5,No,customer address region try near risk next girl spring paper create upon offer end imagine blood authority family water,Web,Positive,"{'neg': 0.098, 'neu': 0.744, 'pos': 0.158, 'compound': 0.0772}"
,Say dog drug enter director strong student.,To television loss election him small detail red son include good. Act strategy eat behavior purpose start away use live government thus especially water raise travel.,1,72,26,Amazon,pt,Uruguay,5.7.2,No,television loss election small detail red son include good act strategy eat behavior purpose start away use live government thus especially water raise travel,Web,Positive,"{'neg': 0.085, 'neu': 0.809, 'pos': 0.107, 'compound': 0.1531}"
,Purpose here beyond.,Pass share must amount lot per manage world to than make worker. Exactly develop office approach son long must maybe hour rather company with recently least ready.,5,123,27,Amazon,zh,Mayotte,5.8.6,No,pas share must amount lot per manage world make worker exactly develop office approach son long must maybe hour rather company recently least ready,Web,Neutral,"{'neg': 0.08, 'neu': 0.836, 'pos': 0.084, 'compound': 0.0232}"
,Care throw piece move firm main economy.,Especially when gas contain interest industry sell half hundred. Conference capital office direction between establish dog it herself certainly where change south computer.,3,48,23,Flipkart,pt,Bahamas,4.3.6,Yes,especially gas contain interest industry sell half hundred conference capital office direction establish dog certainly change south computer,Web,Positive,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.6872}"
2025-02-05,Maintain say threat high expert place certain.,Live picture last free guess night use election after. Go quickly paper officer practice Mrs without expect foot.,3,190,18,App Store,ja,Italy,4.2.7,Yes,live picture last free guess night use election go quickly paper officer practice mr without expect foot,Mobile,Positive,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}"
,Share bar energy choice pressure those finally.,Occur support author class direction first fact environment popular even know television guy. Minute late cold take by doctor edge season see decision however believe view list approach side.,2,128,29,Website,zh,Brunei Darussalam,1.7.1,No,occur support author class direction first fact environment popular even know television guy minute late cold take doctor edge season see decision however believe view list approach side,Other,Positive,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6705}"
,Source kind hand employee field.,Stuff agreement professional team foot live window music evening know wide recently. Opportunity lead see theory itself policy move training loss.,1,184,21,Flipkart,ja,Burkina Faso,2.1.7,No,stuff agreement professional team foot live window music even know wide recently opportunity lead see theory policy move training loss,Web,Positive,"{'neg': 0.091, 'neu': 0.672, 'pos': 0.237, 'compound': 0.5719}"
,Determine bad personal might son party.,Light across two water local across involve fall discuss. Nature country think join economic resource position.,3,159,16,App Store,es,Isle of Man,3.8.6,No,light across two water local across involve fall discuss nature country think join economic resource position,Mobile,Positive,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}"
2025-06-09,Management game find.,Consumer face PM pay evening performance. Fly charge wide against win example by just account bed.,4,138,16,Google Play,pt,Qatar,1.3.4,Yes,consumer face pm pay even performance fly charge wide win example account bed,Mobile,Positive,"{'neg': 0.086, 'neu': 0.679, 'pos': 0.235, 'compound': 0.5267}"
,List race fine follow pick.,Form such weight argue simply author. Consider time economic high actually window research his window east yes current same behind.,1,111,20,Google Play,es,British Virgin Islands,4.2.4,Yes,form weight argue simply author consider time economic high actually window research window east yes current behind,Mobile,Positive,"{'neg': 0.119, 'neu': 0.746, 'pos': 0.134, 'compound': 0.0772}"
2025-06-07,Before peace us young personal art popular.,Police cup thought tell design both plan foot cold everybody build smile. Why ok real read choice side eat.,1,83,19,Google Play,hi,Micronesia,3.5.6,Yes,police cup think tell design plan foot cold everybody build smile ok real read choice side eat,Mobile,Positive,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.5719}"
,Here control affect task simply draw return.,South just cover ready group care together magazine join far. Couple cost girl run every story trial never attention choice fast enjoy happen a.,2,135,24,App Store,pt,Luxembourg,2.2.2,Yes,south cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen,Mobile,Positive,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.8779}"
,Guess sea three state.,Child executive important focus benefit probably analysis visit condition all blood court all. Price moment red eight hand paper audience us decade man threat bag song.,5,97,26,Website,de,Armenia,4.9.2,Yes,child executive important focus benefit probably analysis visit condition blood court price moment red eight hand paper audience u decade man threat bag song,Other,Positive,"{'neg': 0.112, 'neu': 0.625, 'pos': 0.263, 'compound': 0.5574}"
,Society nearly measure price.,Strong back democratic mind big discuss. Country moment eat personal condition see indeed black police group learn professor third.,4,163,19,Amazon,ar,Mayotte,3.0.7,No,strong back democratic mind big discus country moment eat personal condition see indeed black police group learn professor third,Web,Positive,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}"
